"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA SORTE GRANITE","","-12","-12","-40.3","-40.3","SAE","","","s_TZD14-269  [20769]","GRANITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","78.32","0.14","","10.62","","","","","0.59","1.33","0.03","","1.61","3.94","0.02","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","9.709","1.893","","","","","","","","","","","","","1.704","","0.953","2.604","","","1.149","0.935","","15.676","20.322","","","","","32.373","61.766","62.473","333.293","15.678","0.233","","","","","0.016","","3.941","","","","0.231","311.611","44.564","101.401","11.079","42.401","9.401","1.579","10.072","1.723","10.939","2.371","6.96","1.057","6.93","1.038","9.594","1.287","0.849","","","","","","","","5.205","","9.567","2.428","","","","","","","","","","","","","","","","","","","","","","","","","1120821",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MEIRAS GRANITE","","-12","-12","-40","-40","SAE","","","s_WMS-20B [20769]","GRANITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","71.45","0.32","","14.32","","","","","2.31","0.69","0.071","","2.38","4.61","0.136","","","","","","","","","","","","","","","","0.52","","","","","","","","","","","","","","20.662","3.531","","","","","","","","","","","","","5.295","","22.024","20.658","","","5.119","5.385","6.332","67.813","22.857","","","","","117.215","159.448","42.521","212.364","26.846","","","","","","0.126","","4.471","","","","1.761","169.572","38.239","71.128","8.295","29.559","6.753","0.835","7.377","1.302","7.919","1.602","4.248","0.564","3.193","0.43","5.908","1.6","0.055","","","","","","","","23.045","0.069","17.426","1.188","","","","","","","","","","","","","","","","","","","","","","","","","1120822",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / MEIRAS GRANITE","","-12","-12","-40","-40","SAE","","","s_WMS-14A [20769]","GRANITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","65.07","0.645","","15.23","","","","","2.92","1.34","0.067","","1.99","4.68","0.309","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","43.927","3.812","","","","","","","","","","","","","12.115","","35.315","18.921","","","10.16","9.969","10.899","57.948","26.419","","","","","167.796","226.292","64.453","478.701","35.455","","","","","","0.06","","9.187","","","","3.687","149.657","84.814","163.216","17.844","61.541","11.744","1.516","11.277","1.787","10.566","2.231","6.472","0.957","6.014","0.889","11.749","2.652","0.201","","","","","","","","15.082","0.117","30.476","3.365","","","","","","","","","","","","","","","","","","","","","","","","","1120823",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA VISTA GRANITE","","-14","-14","-41","-41","SAE","","","s_TZD-213 [20769]","GRANITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","67.16","0.525","","15.63","","","","","3.04","1.06","0.104","","1.5","5.4","0.214","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","28.967","3.348","","","","","","","","","","","","","6.679","","35.962","15.545","","","9.27","8.967","25.939","98.262","24.77","","","","","67.2","136.894","55.317","491.597","26.069","0.254","","","","","0.196","","2.781","","","","0.852","115.745","124.524","221.25","25.282","77.351","13.104","1.261","13.111","1.977","11.638","2.166","5.639","0.765","4.262","0.569","11.147","1.432","0.04","","","","","","","","15.068","0.033","24.734","1.338","","","","","","","","","","","","","","","","","","","","","","","","","1120824",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / BOA VISTA GRANITE","","-14","-14","-41","-41","SAE","","","s_TZD-199 A [20769]","GRANITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","69.22","0.486","","14.84","","","","","2.65","0.93","0.072","","1.69","4.57","0.182","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","11.452","3.714","","","","","","","","","","","","","5.177","","29.036","23.664","","","6.527","10.708","10.991","57.918","23.349","","","","","61.969","182.512","83.547","455.657","30.321","0.133","","","","","0.164","","5.779","","","","0.655","422.55","138.233","191.107","24.975","82.947","15.174","1.979","15.969","2.462","14.681","2.912","8.062","1.204","7.235","0.98","10.495","3.643","0.158","","","","","","","","17.388","0.083","23.845","2.152","","","","","","","","","","","","","","","","","","","","","","","","","1120825",
"[20769]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CALDERON DIORITE","","-14","-14","-41","-41","SAE","","","s_TZD-185 [20769]","DIORITE [20769]","3300000000 [20769]","3300000000 [20769]","","ARCHEAN [20769]","","","","","PLU","","","","","WR [20769] ","57.85","0.943","","17.83","","","","","4.7","1.86","0.123","","1.77","5.62","0.408","","","","","","","","","","","","","","","","0.49","","","","","","","","","","","","","","21.351","2.244","","","","","","","","","","","","","7.894","","89.833","10.497","","","13.654","7.903","23.408","121.196","26.289","","","","","37.709","633.765","21.18","479.597","11.776","0.508","","","","","0.171","","2.502","","","","0.885","251.334","55.031","124.34","14.535","53.49","9.043","2.446","7.352","0.871","4.318","0.769","2.104","0.285","1.774","0.262","7.867","0.52","0.081","","","","","","","","16.242","0.109","4.742","0.786","","","","","","","","","","","","","","","","","","","","","","","","","1120826",
"[17436]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / MAIRI GNEISSIC COMPLEX","","-11.25","-12.5","-40.3","-40.6","SAE","","","s_PO-91 [17436]","GNEISS [17436]","","","","ARCHEAN [17436]","","","","","MET","","","","","WR [17436] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510518","","","","","","","","","","","","","","","","","","","","","","","","1151463",
"[17436]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / MAIRI GNEISSIC COMPLEX","","-11.25","-12.5","-40.3","-40.6","SAE","","","s_PO-103 [17436]","GNEISS, ORTHO [17436]","","","","ARCHEAN [17436]","","","","","MET","","","","","WR [17436] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510608","","","","","","","","","","","","","","","","","","","","","","","","1151464",
"[17436]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / MAIRI GNEISSIC COMPLEX","","-11.25","-12.5","-40.3","-40.6","SAE","","","s_PEUCAT-526 [17436]","GNEISS [17436]","","","","ARCHEAN [17436]","","","","","MET","","","","","WR [17436] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510357","","","","","","","","","","","","","","","","","","","","","","","","1151465",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ29B [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52.9","0.47","","11.3","","2.8","7.5","","8.4","11.9","0.17","","0.12","0.68","0.17","3.19","","","","0.08","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","992","","","57","212","","","","","","","","","","12","29","1.4","","","","","","","","","","","","","","3.17","6.69","0.86","4.24","1.24","0.53","1.3","0.27","1.88","0.39","1.16","0.18","1.15","0.18","0.8","0.14","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","199399",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ29C [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","53.2","0.52","","12.3","","3.1","7","","8.2","10.5","0.18","","0","1.6","0.3","2.84","","","","0.09","","","","","","","","","","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670","","","49","164","","","","","","","","","","13","32","1.5","","","","","","","","","","","","","","2.67","5.92","0.82","4.18","1.34","0.6","1.34","0.31","2.07","0.43","1.29","0.2","1.35","0.21","0.9","0.19","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","199400",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ31 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","51.8","0.52","","10.4","","3.2","7.3","","7.3","13.5","0.18","","0.07","0.81","0.29","3.87","","","","0.1","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","988","","","56","193","","","","","","","","","","12","26","1.3","","","","","","","","","","","","","","3.44","6.89","0.89","4.44","1.24","0.67","1.29","0.28","1.88","0.39","1.16","0.18","1.2","0.19","0.8","0.13","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","199401",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ32 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52.4","0.52","","9.4","","2.4","7.1","","8.2","14.1","0.13","","0.85","0.41","0.22","3.43","","","","0.09","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","893","","","53","184","","","","","","","","","","11","30","1.2","","","","","","","","","","","","","","2.16","4.98","0.67","3.4","1.09","0.44","1.09","0.25","1.75","0.36","1.05","0.16","1.07","0.18","0.8","0.11","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","199402",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ33A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","50.9","0.63","","11.3","","2.7","7.4","","6.5","13.1","0.14","","1.1","1.2","0.27","3.85","","","","0.08","","","","","","","","","","","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","962","","","54","210","","","","","","","","","","12","29","1.4","","","","","","","","","","","","","","2.53","5.71","0.84","4.26","1.36","0.62","1.33","0.3","2.04","0.42","1.24","0.19","1.3","0.2","0.9","0.13","","","","","","","","","","","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","199403",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ41 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","51.4","0.41","","12.8","","3.2","7.1","","5.3","11.9","0.13","","0.48","3.2","0.21","3.39","","","","0.11","","","","","","","","","","","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","715","","","53","174","","","","","","","","","","12","31","1.5","","","","","","","","","","","","","","1.91","5.09","0.75","3.97","1.26","0.44","1.29","0.29","2.02","0.42","1.2","0.19","1.24","0.2","0.9","0.16","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","199404",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ20A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","47","1.3","","15.1","","5.5","8.2","","10.1","7.4","0.15","","0.48","1.5","0.25","2.39","","","","0.12","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","261","","","50","105","","","","","","","","","","25","70","4.9","","","","","","","","","","","","","","9.24","18.8","2.42","11.5","3.2","1.04","3.39","0.64","4.16","0.83","2.44","0.37","2.47","0.37","2","0.45","","","","","","","","","","","2.13","","","","","","","","","","","","","","","","","","","","","","","","","","199405",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ22A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52.3","0.63","","14.2","","4.2","6.5","","9","7.5","0.12","","0.05","2.3","0.19","2.19","","","","0.16","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","","","47","125","","","","","","","","","","17","46","2.6","","","","","","","","","","","","","","3.98","9.32","1.28","6.32","1.86","0.64","1.92","0.4","2.76","0.56","1.65","0.26","1.71","0.26","1.3","0.22","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","199406",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ23A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","50.5","0.73","","14.2","","4.2","6.4","","12.8","7.7","0.13","","0","1.4","0.23","1.99","","","","0.09","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","","","45","75","","","","","","","","","","18","49","2.7","","","","","","","","","","","","","","4.65","10.4","1.38","6.66","1.97","0.66","2.02","0.42","2.93","0.61","1.76","0.28","1.81","0.29","1.4","0.19","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","199407",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ30A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","54.1","0.83","","13.2","","3.6","7.1","","8.6","6.2","0.18","","0.36","2.3","0.31","2.01","","","","0.45","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163","","","45","62","","","","","","","","","","19","56","3.2","","","","","","","","","","","","","","5.99","12.8","1.67","8","2.32","0.78","2.41","0.48","3.23","0.65","1.91","0.3","1.97","0.31","1.6","0.25","","","","","","","","","","","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","199408",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_TN1 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52.6","0.63","","14.2","","3.8","7.3","","8.6","7","0.13","","0.36","1.8","0.26","2.14","","","","0.2","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","45","87","","","","","","","","","","23","50","2.4","","","","","","","","","","","","","","7.88","11.5","2.06","9.99","2.96","0.9","2.88","0.62","4.05","0.8","2.24","0.32","1.99","0.31","1.4","0.21","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","199409",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_TN3 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","53","0.83","","14.2","","3.1","8.2","","8.1","6","0.14","","0.11","3","0.27","2.39","","","","0.4","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","46","53","","","","","","","","","","19","60","2.8","","","","","","","","","","","","","","6.81","13.8","1.88","8.85","2.52","0.81","2.52","0.51","3.4","0.67","1.99","0.3","1.92","0.3","1.1","0.21","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","199410",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_TN7A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52","0.73","","14.2","","4.4","4.9","","15.3","5.3","0.15","","0","0.68","0.17","0.97","","","","0.88","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","","","44","66","","","","","","","","","","16","55","2.4","","","","","","","","","","","","","","6.36","12.4","1.62","7.47","2.05","0.79","2.04","0.41","2.67","0.54","1.57","0.24","1.58","0.24","1.5","0.18","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","199411",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_LM00 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","51.7","0.7","","14.1","","2.68","5.94","","10.4","6.53","0.13","","0.06","3.85","0.14","1.8","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","47","52","","","","","","","","","","16","53","2.7","","","","","","","","","","","","","","6.29","12.7","1.6","7.38","1.94","0.65","2.04","0.38","2.54","0.52","1.56","0.24","1.62","0.26","1.6","0.24","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","199412",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ18A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","46.7","2.1","","13.2","","4.1","11.3","","11.5","6.6","0.21","","0.06","1.6","0.36","2.62","","","","0.07","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","","","52","40","","","","","","","","","","51","150","9.9","","","","","","","","","","","","","","15.7","33.9","4.65","22.8","6.66","1.85","6.45","1.31","8.39","1.7","5.02","0.75","4.89","0.77","4.3","0.64","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","","","","","","","","","199413",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ36A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","51.5","1.5","","13.2","","6","7.1","","7.2","6.4","0.13","","0.48","3.8","0.31","1.99","","","","0.07","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","","","46","80","","","","","","","","","","33","111","5.7","","","","","","","","","","","","","","12.4","26.2","3.37","15.7","4.38","1.46","4.37","0.87","5.74","1.13","3.31","0.51","3.26","0.5","3.3","0.41","","","","","","","","","","","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","199414",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ39 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","52.6","1.5","","14.2","","4.4","7.6","","6","6.2","0.14","","0.05","4.7","0.3","2.09","","","","0.08","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","","","48","70","","","","","","","","","","32","109","5.3","","","","","","","","","","","","","","11.4","23.1","3.08","14.5","4.12","1.22","4.1","0.83","5.25","1.05","3.07","0.45","2.94","0.45","2.9","0.38","","","","","","","","","","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","199415",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_FR19 [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","46.9","2.1","","12.8","","5.8","10.6","","10","6.2","0.17","","0.05","2.3","0.51","2.79","","","","0.15","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","","","49","53","","","","","","","","","","44","123","7.7","","","","","","","","","","","","","","13.2","29.2","4.03","19.5","5.59","1.64","5.49","1.09","7.23","1.46","4.33","0.66","4.36","0.66","3.5","0.52","","","","","","","","","","","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","199416",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ11A [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","55","1.4","","14.6","","2.3","6.5","","7.9","4.8","0.12","","0.19","4.9","0.35","1.05","","","","0.17","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","","","37","34","","","","","","","","","","36","130","7","","","","","","","","","","","","","","17.9","35.9","4.42","19.7","4.99","1.32","5.02","0.95","5.97","1.2","3.62","0.55","3.56","0.54","3.6","0.54","","","","","","","","","","","3.83","","","","","","","","","","","","","","","","","","","","","","","","","","199417",
"[6254]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP","","-20","-20.5","-43.38","-43.88","SAE","","","s_MZ35B [6254]","BASALT [6254]","","","","ARCHEAN [6254]","","","","","VOL","","","","","WR [6254] ","57.9","1.7","","14.2","","3.7","6.5","","4","4.5","0.12","","1.8","2.5","0.35","2.14","","","","0.31","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","34","10","","","","","","","","","","44","137","7.6","","","","","","","","","","","","","","27.1","46.9","6.38","28.3","7.09","1.96","7.02","1.24","7.84","1.52","4.25","0.61","3.66","0.56","3.9","0.54","","","","","","","","","","","5.73","","","","","","","","","","","","","","","","","","","","","","","","","","199418",
